MementoDatetime,URIM,FollowerCount,AbsGrowth,RelGrowth,AbsPerGrowth,RelPerGrowth,AbsFolRate,RelFolRate
20160126081442,https://web.archive.org/web/20160126081442/https://twitter.com/dog_rates,167473,0,0,0,0,0,0
20160127130202,https://web.archive.org/web/20160127130202/http://twitter.com/dog_rates,167473,0,0,0.0,0.0,0.0,0.0
20160129161411,https://wayback.archive-it.org/all/20160129161411/https://twitter.com/dog_rates,170058,2585,2585,1.54,1.54,0.00898,0.01402
20160129161411,https://web.archive.org/web/20160129161411/https://twitter.com/dog_rates,170058,2585,0,1.54,0.0,0.00898,0.0
20160209220732,https://web.archive.org/web/20160209220732/http://twitter.com/dog_rates,170058,2585,0,1.54,0.0,0.00205,0.0
20160211184632,https://web.archive.org/web/20160211184632/http://twitter.com/dog_rates,170058,2585,0,1.54,0.0,0.00182,0.0
20160514100624,https://web.archive.org/web/20160514100624/https://twitter.com/dog_rates,230332,62859,60274,37.53,35.44,0.00667,0.00753
20160709124750,https://web.archive.org/web/20160709124750/https://twitter.com/dog_rates,286468,118995,56136,71.05,24.37,0.00834,0.01158
20160927195912,https://web.archive.org/web/20160927195912/https://twitter.com/dog_rates,429861,262388,143393,156.67,50.06,0.01237,0.02067
20161028173943,https://wayback.archive-it.org/all/20161028173943/https://twitter.com/dog_rates,516513,349040,86652,208.42,20.16,0.01462,0.03245
20161028173943,https://web.archive.org/web/20161028173943/https://twitter.com/dog_rates,516513,349040,0,208.42,0.0,0.01462,0.0
20161107221345,https://web.archive.org/web/20161107221345/https://twitter.com/dog_rates,562150,394677,45637,235.67,8.84,0.01594,0.05162
20161108003904,https://web.archive.org/web/20161108003904/https://twitter.com/dog_rates,562934,395461,784,236.13,0.14,0.01597,0.08992
20161109194610,https://web.archive.org/web/20161109194610/http://twitter.com/dog_rates/,562934,395461,0,236.13,0.0,0.01587,0.0
20161115003342,https://web.archive.org/web/20161115003342/https://twitter.com/dog_rates,607473,440000,44539,262.73,7.91,0.01734,0.09914
20161115045500,https://swap.stanford.edu/20161115045500/https://twitter.com/dog_rates,609243,441770,1770,263.79,0.29,0.0174,0.1129
20161115045500,https://web.archive.org/web/20161115045500/https://twitter.com/dog_rates,609243,441770,0,263.79,0.0,0.0174,0.0
20161122001123,https://web.archive.org/web/20161122001123/https://twitter.com/dog_rates,656973,489500,47730,292.29,7.83,0.01884,0.0812
20161129002845,https://web.archive.org/web/20161129002845/https://twitter.com/dog_rates,714052,546579,57079,326.37,8.69,0.02056,0.09421
20161201153953,https://wayback.archive-it.org/all/20161201153953/https://twitter.com/dog_rates,740112,572639,26060,341.93,3.65,0.02136,0.11457
20161201153953,https://web.archive.org/web/20161201153953/https://twitter.com/dog_rates,740112,572639,0,341.93,0.0,0.02136,0.0
20161206010428,https://wayback.archive-it.org/all/20161206010428/https://twitter.com/dog_rates,778192,610719,38080,364.67,5.15,0.02246,0.10035
20161206010428,https://web.archive.org/web/20161206010428/https://twitter.com/dog_rates,778192,610719,0,364.67,0.0,0.02246,0.0
20161207093713,https://swap.stanford.edu/20161207093713/https://twitter.com/dog_rates,786360,618887,8168,369.54,1.05,0.02266,0.06971
20161207093713,https://web.archive.org/web/20161207093713/https://twitter.com/dog_rates,786360,618887,0,369.54,0.0,0.02266,0.0
20161208092856,https://wayback.archive-it.org/all/20161208092856/https://twitter.com/dog_rates,792150,624677,5790,373.0,0.74,0.0228,0.0674
20161208092856,https://web.archive.org/web/20161208092856/https://twitter.com/dog_rates,792150,624677,0,373.0,0.0,0.0228,0.0
20161208132734,https://wayback.archive-it.org/all/20161208132734/https://twitter.com/dog_rates,792522,625049,372,373.22,0.05,0.02281,0.02598
